table,simno,stianntest.gc.hivneg.coverage,stianntest.ct.hivneg.coverage,stihighrisktest.gc.hivneg.coverage,stihighrisktest.ct.hivneg.coverage,stianntest.gc.hivpos.coverage,stianntest.ct.hivpos.coverage,stihighrisktest.gc.hivpos.coverage,stihighrisktest.ct.hivpos.coverage,tst.rect.sti.rr.hivneg,tst.rect.sti.rr.hivpos
t1,7001,0.44,0.44,0,0,0.61,0.61,0,0,0.48,0.63
t1,7070,0.44,0.44,0,0,0.61,0.61,0,0,0.48,0.63
t1,7002,0.484,0.484,0,0,0.671,0.671,0,0,0.48,0.63
t1,7003,0.528,0.528,0,0,0.732,0.732,0,0,0.48,0.63
t1,7004,0.572,0.572,0,0,0.793,0.793,0,0,0.48,0.63
t1,7005,0.616,0.616,0,0,0.854,0.854,0,0,0.48,0.63
t1,7006,0.66,0.66,0,0,0.915,0.915,0,0,0.48,0.63
t1,7007,0.704,0.704,0,0,0.976,0.976,0,0,0.48,0.63
t1,70062,0.44,0.44,0.1,0.1,0.61,0.61,0.1,0.1,0.48,0.63
t1,70072,0.44,0.44,0.2,0.2,0.61,0.61,0.2,0.2,0.48,0.63
t1,7008,0.44,0.44,0.3,0.3,0.61,0.61,0.3,0.3,0.48,0.63
t1,7009,0.44,0.44,0.4,0.4,0.61,0.61,0.4,0.4,0.48,0.63
t1,7010,0.44,0.44,0.5,0.5,0.61,0.61,0.5,0.5,0.48,0.63
t1,7011,0.44,0.44,0.6,0.6,0.61,0.61,0.6,0.6,0.48,0.63
t2,7010,0.44,0.44,0,0,0.61,0.61,0,0,0.48,0.63
t2,7011,0.44,0.44,0,0,0.61,0.61,0,0,0.7,0.63
t2,7012,0.44,0.44,0,0,0.61,0.61,0,0,0.8,0.63
t2,7013,0.44,0.44,0,0,0.61,0.61,0,0,0.9,0.63
t2,7014,0.44,0.44,0,0,0.61,0.61,0,0,1,0.63
t2,7015,0.484,0.484,0,0,0.61,0.61,0,0,0.63,0.63
t2,7016,0.484,0.484,0,0,0.61,0.61,0,0,0.7,0.63
